,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
10402,14.9,95.0,14.2,0,765.3,0.0,34.0,1.46,0.019469489089246
8102,21.9,72.0,16.6,1,763.7,0.0,255.0,10.97,0.0286761817467591
11214,16.5,94.0,15.5,0,757.8,0.0,0.0,0.0,0.0217735550277117
9761,13.2,68.0,7.4,0,760.1,0.0,0.0,0.0,0.0173661360347322
1165,20.1,90.0,18.4,2,751.5,0.0,57.0,2.45,0.0267465069860279
9931,16.3,53.0,6.7,2,761.6,0.0,291.0,12.51,0.0214023109243697
3520,11.6,75.0,7.3,0,738.7,0.0,77.0,3.31,0.0157032624881548
8750,23.1,61.0,15.2,0,758.4,0.0,0.0,0.0,0.0304588607594936
8545,28.2,41.0,13.7,2,758.6,0.0,486.0,20.9,0.03717374110203
9443,15.1,79.0,11.4,2,754.4,0.0,95.0,4.09,0.0200159066808059
8005,18.8,76.0,14.5,2,760.3,0.0,134.0,5.76,0.0247270814152308
10398,14.4,93.0,13.3,0,765.0,0.0,0.0,0.0,0.0188235294117647
8843,20.9,60.0,12.8,3,752.2,0.0,29.0,1.25,0.0277851635203403
5701,10.7,91.0,9.3,0,754.6,0.0,0.0,0.0,0.0141796978531672
117,21.8,61.0,13.9,1,760.5,0.0,95.0,4.09,0.0286653517422748
776,16.2,79.0,12.5,1,747.6,0.0,314.0,13.5,0.0216693418940609
3476,15.3,88.0,13.3,1,756.1,0.0,91.0,3.91,0.0202354185954238
6518,15.6,82.0,12.5,0,765.0,0.0,18.0,0.77,0.0203921568627451
3084,16.3,76.0,12.1,3,740.0,0.0,88.0,3.78,0.022027027027027
2272,20.4,55.0,11.1,0,757.1,0.0,70.0,3.01,0.0269449214106458
9078,24.7,54.0,14.7,3,754.4,0.0,283.0,12.17,0.0327412513255567
8013,22.2,60.0,14.0,2,761.2,0.0,504.0,21.67,0.0291644771413557
3901,14.7,77.0,10.7,0,767.6,0.0,18.0,0.77,0.0191505992704533
8009,21.3,64.0,14.2,2,760.7,0.0,316.0,13.59,0.028000525831471
10242,14.6,81.0,11.4,1,759.2,0.0,0.0,0.0,0.0192307692307692
7887,17.9,91.0,16.5,0,755.9,0.51,0.0,0.0,0.0236803810027781
6404,20.3,54.0,10.7,0,767.9,0.0,40.0,1.72,0.0264357338195077
4329,18.1,76.0,13.8,1,753.9,0.0,29.0,1.25,0.0240084891895476
6928,21.2,50.0,10.4,0,764.2,0.0,165.0,7.1,0.0277414289453022
2555,14.2,96.0,13.5,0,763.1,0.0,45.0,1.94,0.0186083082164853
6194,10.2,88.0,8.3,0,751.4,0.0,96.0,4.13,0.0135746606334841
847,16.6,75.0,12.2,1,754.3,0.0,75.0,3.23,0.0220071589553228
4431,10.2,86.0,7.9,0,764.1,0.0,6.0,0.26,0.0133490380840204
4951,16.5,90.0,14.9,0,757.9,0.0,0.0,0.0,0.0217706821480406
7245,14.2,72.0,9.2,2,755.7,0.0,150.0,6.45,0.0187905253407436
10920,13.6,89.0,11.8,0,766.6,0.0,0.0,0.0,0.0177406731020088
1779,19.2,58.0,10.7,3,749.2,0.0,449.0,19.31,0.0256273358248798
4648,16.1,84.0,13.4,0,761.0,0.0,93.0,4.0,0.0211563731931668
3045,11.9,80.0,8.6,6,745.5,0.0,82.0,3.53,0.0159624413145539
10113,16.8,93.0,15.7,1,754.7,0.0,8.0,0.34,0.0222605008612693
748,20.2,72.0,15.0,3,745.6,0.0,256.0,11.01,0.0270922746781115
886,14.3,85.0,11.8,1,756.3,0.0,59.0,2.54,0.0189078408039137
1735,13.0,84.0,10.4,2,749.9,0.0,21.0,0.9,0.0173356447526336
6825,20.1,53.0,10.2,2,764.0,0.0,481.0,20.69,0.0263089005235602
11570,21.2,56.0,12.1,3,766.7,0.0,337.0,14.49,0.0276509716968827
4482,22.9,52.0,12.6,4,761.3,0.0,143.0,6.15,0.0300801261000919
6495,22.7,57.0,13.7,0,764.7,0.0,104.0,4.47,0.0296848437295671
8633,20.0,62.0,12.5,2,758.6,0.0,296.0,12.73,0.0263643553915106
3044,12.4,79.0,8.9,5,745.5,0.0,151.0,6.49,0.0166331321260898
2835,15.8,89.0,14.0,0,760.8,0.0,84.0,3.61,0.0207676130389064
118,21.7,62.0,14.1,1,760.5,0.0,135.0,5.81,0.02853385930309
4899,24.1,64.0,16.8,1,762.5,0.0,463.0,19.91,0.0316065573770491
931,15.2,94.0,14.3,0,754.8,0.0,152.0,6.54,0.0201377848436671
3253,19.5,80.0,16.0,3,752.7,0.0,118.0,5.07,0.0259067357512953
10485,15.9,89.0,14.1,0,760.0,0.0,0.0,0.0,0.0209210526315789
6034,16.7,81.0,13.4,0,761.5,0.0,19.0,0.82,0.021930400525279
8999,17.6,71.0,12.2,0,760.7,0.0,0.0,0.0,0.0231365847245957
9958,13.3,76.0,9.2,0,759.1,0.0,0.0,0.0,0.0175207482545119
3073,14.5,92.0,13.2,3,741.0,0.0,73.0,3.14,0.0195681511470985
2658,19.9,79.0,16.2,0,751.7,0.0,211.0,9.07,0.0264733271251829
10266,17.9,63.0,10.8,4,760.1,0.0,587.0,25.24,0.0235495329561899
804,19.7,56.0,10.6,2,755.5,0.0,594.0,25.55,0.0260754467240238
1801,18.7,61.0,11.0,2,747.1,0.0,444.0,19.09,0.0250301164502743
10491,15.4,91.0,14.0,1,759.3,0.0,0.0,0.0,0.0202818385354932
8022,23.3,64.0,16.1,1,761.7,0.0,266.0,11.44,0.0305894709203098
2065,16.8,54.0,7.4,3,754.9,0.0,322.0,13.85,0.0222546032587097
7200,17.9,66.0,11.5,1,755.0,0.0,281.0,12.08,0.0237086092715231
5381,21.8,56.0,12.7,0,757.0,0.0,670.0,28.81,0.0287978863936591
2661,18.8,83.0,15.9,0,751.5,0.0,120.0,5.16,0.0250166333998669
2523,17.2,75.0,12.7,0,760.1,0.0,92.0,3.96,0.0226286014998026
3187,11.6,97.0,11.1,0,748.5,0.0,40.0,1.72,0.0154976619906479
10321,17.9,90.0,16.2,1,761.8,0.0,173.0,7.44,0.0234969808348647
350,12.2,92.0,11.0,0,759.0,0.0,10.0,0.43,0.0160737812911725
84,23.1,53.0,13.0,2,763.6,0.0,635.0,27.31,0.0302514405447878
8583,20.4,73.0,15.4,3,760.1,0.0,273.0,11.74,0.0268385738718589
6557,14.2,68.0,8.3,1,767.7,0.0,0.0,0.0,0.0184968086492119
371,22.4,52.0,12.0,2,760.0,0.0,255.0,10.97,0.0294736842105263
9728,7.8,87.0,5.8,1,759.2,0.0,15.0,0.65,0.0102739726027397
9877,12.5,75.0,8.2,2,758.2,0.0,46.0,1.98,0.0164864151938802
9338,13.2,81.0,10.0,3,752.8,0.0,0.0,0.0,0.0175345377258235
6631,17.6,65.0,10.9,2,767.4,0.0,343.0,14.75,0.0229345843106593
4364,17.8,63.0,10.7,0,758.2,0.0,46.0,1.98,0.0234766552360854
7738,18.6,57.0,9.9,6,759.2,0.0,114.0,4.9,0.0244994731296101
6849,14.0,67.0,8.0,2,762.7,0.0,0.0,0.0,0.0183558410908614
5441,19.5,82.0,16.3,0,767.2,0.0,92.0,3.96,0.0254171011470281
10116,17.1,95.0,16.2,3,754.7,0.0,54.0,2.32,0.0226580098052206
11081,17.9,87.0,15.7,1,757.1,0.0,107.0,4.6,0.0236428477083608
11144,21.7,74.0,16.9,0,754.6,0.0,15.0,0.65,0.0287569573283858
10956,16.0,82.0,12.9,0,762.8,0.0,0.0,0.0,0.020975353959098
891,14.9,84.0,12.3,1,756.7,0.0,87.0,3.74,0.0196907625214748
9661,14.3,83.0,11.5,1,755.3,0.0,0.0,0.0,0.0189328743545611
7799,13.7,95.0,12.9,2,760.0,0.25,0.0,0.0,0.0180263157894736
10922,13.7,90.0,12.1,0,766.5,0.0,0.0,0.0,0.017873450750163
9529,13.5,89.0,11.7,1,762.4,0.0,0.0,0.0,0.017707240293809
8571,19.9,82.0,16.7,0,758.6,0.0,0.0,0.0,0.0262325336145531
3539,9.2,86.0,6.9,1,747.8,0.0,19.0,0.82,0.0123027547472586
8864,17.3,88.0,15.3,0,750.4,0.0,20.0,0.86,0.0230543710021321
1378,19.2,71.0,13.8,0,754.8,0.0,130.0,5.59,0.0254372019077901
10156,12.9,93.0,11.8,2,756.9,0.0,0.0,0.0,0.0170432025366627
8267,21.1,83.0,18.1,1,756.0,0.0,14.0,0.6,0.0279100529100529
2066,17.5,53.0,7.8,3,754.8,0.0,385.0,16.56,0.0231849496555378
