,Site,TempOut,OutHum,DewPt,WindSpeed,WindRun,WindChill,HeatIndex,THWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,P_GEN,Temp_Pressure_ratio,Humidity_Radiation_ratio
39,YMCA,18.4,64.0,11.5,1,0.5,18.4,18.2,18.2,763.2,0.0,0.0,733.0,31.52,0.34,0.024109014675052408,0.08731241473396999
40,YMCA,18.7,61.0,11.0,1,0.5,18.7,18.3,18.3,763.4,0.0,0.0,810.0,34.83,0.29,0.024495677233429394,0.07530864197530865
41,YMCA,18.4,61.0,10.7,1,0.5,18.4,18.0,18.0,763.4,0.0,0.0,665.0,28.6,0.372,0.024102698454283467,0.09172932330827067
42,YMCA,19.6,55.0,10.3,2,1.0,19.6,19.1,19.1,763.4,0.0,0.0,820.0,35.26,0.358,0.025674613570867175,0.06707317073170732
43,YMCA,20.6,52.0,10.4,2,1.0,20.6,19.9,19.9,763.4,0.0,0.0,991.0,42.62,0.169,0.02698454283468693,0.05247225025227043
44,YMCA,19.2,56.0,10.2,2,1.0,19.2,18.7,18.7,763.4,0.0,0.0,485.0,20.86,0.143,0.02515064186533927,0.1154639175257732
45,YMCA,20.2,51.0,9.7,1,0.5,20.2,19.5,19.5,763.4,0.0,0.0,624.0,26.84,0.139,0.026460571129159026,0.08173076923076923
46,YMCA,20.7,49.0,9.6,1,0.5,20.7,19.8,19.8,763.5,0.0,0.0,593.0,25.5,0.219,0.02711198428290766,0.08263069139966273
47,YMCA,20.4,51.0,10.0,2,1.0,20.4,19.7,19.7,763.6,0.0,0.0,556.0,23.91,0.216,0.026715557883708746,0.09172661870503597
48,YMCA,21.6,50.0,10.7,1,0.5,21.6,20.8,20.8,763.6,0.0,0.0,747.0,32.13,0.222,0.028287061288632794,0.06693440428380187
49,YMCA,21.6,55.0,12.2,2,1.0,21.6,21.1,21.1,763.6,0.0,0.0,921.0,39.61,0.157,0.028287061288632794,0.05971769815418024
50,YMCA,21.4,53.0,11.5,2,1.0,21.4,20.7,20.7,763.7,0.0,0.0,786.0,33.8,0.081,0.028021474400942777,0.06743002544529263
51,YMCA,20.5,60.0,12.5,1,0.5,20.5,20.2,20.2,763.8,0.0,0.0,223.0,9.59,0.074,0.026839486776643103,0.26905829596412556
52,YMCA,20.9,60.0,12.9,1,0.5,20.9,20.6,20.6,763.8,0.0,0.0,363.0,15.61,0.062,0.02736318407960199,0.1652892561983471
53,YMCA,20.9,59.0,12.6,2,1.0,20.9,20.5,20.5,763.9,0.0,0.0,527.0,22.66,0.026,0.027359602042152112,0.11195445920303605
54,YMCA,20.5,62.0,13.0,2,1.0,20.5,20.3,20.3,763.9,0.0,0.0,366.0,15.74,0.027,0.026835973294933892,0.16939890710382513
55,YMCA,21.0,60.0,12.9,1,0.5,21.0,20.6,20.6,763.9,0.0,0.0,356.0,15.31,0.021,0.02749050922895667,0.16853932584269662
56,YMCA,20.2,63.0,12.9,1,0.5,20.2,20.1,20.1,763.9,0.0,0.0,268.0,11.53,0.014,0.026443251734520223,0.23507462686567165
57,YMCA,19.8,65.0,13.1,1,0.5,19.8,19.9,19.9,764.0,0.0,0.0,197.0,8.47,0.006,0.025916230366492148,0.3299492385786802
58,YMCA,19.0,68.0,13.0,1,0.5,19.0,19.1,19.1,764.1,0.0,0.0,96.0,4.13,0.004,0.024865855254547833,0.7083333333333334
59,YMCA,18.7,69.0,12.9,0,0.0,18.7,18.7,18.7,764.2,0.0,0.0,64.0,2.75,0.0,0.024470034022507196,1.078125
60,YMCA,11.9,91.0,10.5,0,0.0,11.9,12.0,12.0,764.9,0.0,0.0,4.0,0.17,0.001,0.015557589227349981,22.75
61,YMCA,12.1,91.0,10.7,0,0.0,12.1,12.2,12.2,764.9,0.0,0.0,15.0,0.65,0.018,0.0158190613152046,6.066666666666666
62,YMCA,12.7,90.0,11.1,0,0.0,12.7,12.7,12.7,765.0,0.0,0.0,28.0,1.2,0.08,0.01660130718954248,3.2142857142857144
