,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
10334,15.8,94.0,14.8,0,762.8,0.0,0.0,0.0,0.0207131620346093
11715,21.9,62.0,14.3,2,764.4,0.0,255.0,10.97,0.0286499215070643
10599,15.6,92.0,14.3,1,759.1,0.0,155.0,6.67,0.0205506520879989
8484,20.8,79.0,17.0,1,760.1,0.0,80.0,3.44,0.027364820418366
3095,16.3,69.0,10.6,4,744.0,0.0,302.0,12.99,0.0219086021505376
2636,23.0,67.0,16.5,1,754.4,0.0,247.0,10.62,0.0304878048780487
2599,18.2,76.0,13.9,0,758.3,0.0,137.0,5.89,0.0240010549914281
9014,19.3,68.0,13.2,2,761.5,0.0,81.0,3.48,0.0253447143795141
9439,14.2,84.0,11.5,0,754.1,0.0,5.0,0.22,0.0188303938469698
7100,14.7,70.0,9.3,1,759.9,0.0,66.0,2.84,0.0193446506119226
876,21.1,46.0,9.0,1,755.6,0.0,219.0,9.42,0.0279248279512969
8820,19.1,78.0,15.2,1,754.8,0.0,172.0,7.4,0.025304716481187
6595,16.2,73.0,11.3,1,767.8,0.0,34.0,1.46,0.0210992445949466
10789,14.6,78.0,10.8,1,764.0,0.0,60.0,2.58,0.019109947643979
2584,17.7,85.0,15.2,0,760.7,0.0,214.0,9.2,0.0232680425923491
496,17.1,68.0,11.2,1,754.1,0.0,111.0,4.77,0.0226760376607876
4791,11.8,88.0,9.9,0,757.7,0.0,8.0,0.34,0.0155734459548634
6754,11.6,79.0,8.0,0,764.8,0.0,0.0,0.0,0.0151673640167364
1731,18.9,61.0,11.2,4,744.2,0.0,192.0,8.26,0.0253963988175221
5372,13.3,95.0,12.5,0,757.3,0.0,32.0,1.38,0.0175623927109467
6301,12.0,90.0,10.4,1,743.6,0.0,11.0,0.47,0.0161377084454007
2770,7.8,95.0,7.0,0,760.5,0.0,52.0,2.24,0.0102564102564102
927,14.4,97.0,14.0,0,755.0,0.0,73.0,3.14,0.0190728476821192
2190,20.8,67.0,14.4,2,752.3,0.0,481.0,20.69,0.0276485444636448
